survey	score	difficulty	engagement
text	1	2	5
text	0.7777777778	4	3
text	0.5555555556	1	5
text	0.4444444444	4	4
text	0.7777777778	3	5
text	0.4444444444	5	4
text	0.7777777778	1	5
text	0.4444444444	4	3
text	0.4444444444	4	5
text	0.8888888889	2	5
text	1	2	5
text	1	5	5
text	0.4444444444	4	3
text	0.5555555556	5	5
text	0.8888888889	3	1
text	0.8888888889	2	5
text	0.8888888889	5	5
text	0.6666666667	5	5
text	0.7777777778	3	5
text	0.8888888889	4	5
text	1	4	5
text	1	4	5
text	0.4444444444	4	5
text	1	1	5
text	1	2	3
text	0.8888888889	4	5
text	1	4	5
text	1	2	4
text	1	2	5
text	1	4	5
text	0.6666666667	3	5
text	0.6666666667	5	5
text	0.8888888889	1	4
text	1	4	5
text + graph	0.5555555556	2	5
text + graph	0.3333333333	3	2
text + graph	0.4444444444	5	4
text + graph	0.3333333333	3	4
text + graph	0.4444444444	3	5
text + graph	0.4444444444	4	5
text + graph	1	2	5
text + graph	0.4444444444	4	5
text + graph	1	2	4
text + graph	0.4444444444	4	3
text + graph	1	2	5
text + graph	0.4444444444	4	4
text + graph	0.3333333333	5	5
text + graph	1	5	3
text + graph	0.8888888889	4	3
text + graph	1	2	3
text + graph	0.4444444444	5	4
text + graph	1	1	5
text + graph	1	3	5
text + graph	1	3	4
text + graph	1	2	3
text + graph	0.4444444444	5	5
text + graph	0.8888888889	3	5
text + graph	0.5555555556	5	5
text + graph	0.7777777778	4	5
text + graph	1	5	5
text + graph	0.5555555556	1	5
text + graph	0.7777777778	4	5
text + graph	0.5555555556	1	5
text + graph	0.8888888889	2	5
text + graph	0.7777777778	5	5
text + graph	0.8888888889	2	4
text + graph	0.8888888889	4	5
text + graph	0.7777777778	4	5
text + graph	0.8888888889	3	5
text + graph	0.8888888889	4	5
text + graph	1	3	5
graph	0.5555555556	4	1
graph	0.4444444444	3	4
graph	0.1111111111	5	3
graph	0.2222222222	3	4
graph	0.8888888889	1	5
graph	0.8888888889	3	5
graph	0.7777777778	5	5
graph	0.7777777778	5	4
graph	0.8888888889	5	5
graph	0.8888888889	4	5
graph	0.8888888889	3	5
graph	0.3333333333	5	5
graph	0.7777777778	4	5
graph	0.8888888889	3	5
graph	0.1111111111	3	5
graph	0.7777777778	4	4
graph	0.6666666667	4	5
graph	0.5555555556	4	5
graph	0.5555555556	5	5
graph	0.6666666667	3	5
graph	0.4444444444	3	4
graph	0.5555555556	5	4
graph	0.1111111111	4	3
